Date,PlayerNo.,Name,CashBuilder,Chaser,LowerOffer,HigherOffer,ChosenOffer,HTHResult,FC CorrectAnswers,FC Winner,Amount WonBy Player,bgc,Series
09/02/2016,P2,Wendy,"£6,000",Mark Labbett,"£1,000","£26,000","£6,000 =",Home +4,4 (team 4),Chaser by 0:39,£0,C,9
09/02/2016,P3,Natalie,"£5,000",Mark Labbett,"-£2,000","£30,000","£5,000 =",Home +2,0 (team 4),Chaser by 0:39,£0,C,9
09/02/2016,P4,Louis,"£6,000",Mark Labbett,"-£6,000","£32,000","£6,000 =",Home +2,5 (team 4),Chaser by 0:39,£0,C,9
10/02/2016,P1,Damian,"£4,000",Anne Hegerty,£400,"£24,000","£4,000 =",Home +3,4 (team 3),Team by 5,"£3,667",T,9
10/02/2016,P2,Pam,"£5,000",Anne Hegerty,"£1,000","£30,000","£5,000 =",Home +3,9 (team 3),Team by 5,"£3,667",T,9
10/02/2016,P3,Richard,"£2,000",Anne Hegerty,£2,"£31,000","£2,000 =",Home +4,3 (team 3),Team by 5,"£3,667",T,9
10/02/2016,P4,Rhiannon,"£6,000",Anne Hegerty,"-£1,000","£49,000","£6,000 =",Caught -5,,Team by 5,£0,,9
11/02/2016,P1,Cathie,"£2,000",Paul Sinha,£200,"£22,000","£2,000 =",Caught -3,,Chaser by 0:40,£0,,9
11/02/2016,P2,Dave,"£9,000",Paul Sinha,"£2,000","£60,000","£9,000 =",Caught -1,,Chaser by 0:40,£0,,9
11/02/2016,P3,Steve,"£6,000",Paul Sinha,"£1,000","£36,000","£6,000 =",Home +3,10 (team 2),Chaser by 0:40,£0,C,9
11/02/2016,P4,Mari-Anne,"£3,000",Paul Sinha,£500,"£44,000","£3,000 =",Home +2,2 (team 2),Chaser by 0:40,£0,C,9
12/02/2016,P1,Iain,"£5,000",Jenny Ryan,£500,"£25,000","£25,000 /\",Caught -5,,Chaser by 0:31,£0,,9
12/02/2016,P2,Natalie,"£2,000",Jenny Ryan,£200,"£20,000","£2,000 =",Home +3,8 (solo),Chaser by 0:31,£0,C,9
12/02/2016,P3,Kerri-Ann,"£5,000",Jenny Ryan,"-£1,000","£38,000","£5,000 =",Caught -3,,Chaser by 0:31,£0,,9
12/02/2016,P4,Brian,"£8,000",Jenny Ryan,"£2,000","£58,000","£8,000 =",Caught -2,,Chaser by 0:31,£0,,9
15/02/2016,P1,Gareth,"£5,000",Paul Sinha,"£1,000","£25,000","£5,000 =",Home +3,11 (solo),Chaser by 0:58,£0,C,9
15/02/2016,P2,Sarah,"£6,000",Paul Sinha,"£1,000","£30,000","£6,000 =",Caught -2,,Chaser by 0:58,£0,,9
15/02/2016,P3,Ronnie,"£5,000",Paul Sinha,"£1,000","£35,000","£5,000 =",Caught -1,,Chaser by 0:58,£0,,9
15/02/2016,P4,Becky,"£2,000",Paul Sinha,£500,"£55,000","£2,000 =",Caught -1,,Chaser by 0:58,£0,,9
16/02/2016,P1,Paul,"£8,000",Jenny Ryan,"£2,000","£30,000","£30,000 /\",Caught -4,,Team by 4,£0,,9
16/02/2016,P2,Nick,"£9,000",Jenny Ryan,"£2,000","£40,000","£9,000 =",Home +2,2 (team 3),Team by 4,"£5,333",T,9
16/02/2016,P3,Melika,"£3,000",Jenny Ryan,"£1,000","£31,000","£3,000 =",Home +1,8 (team 3),Team by 4,"£5,333",T,9
16/02/2016,P4,Rhonda,"£4,000",Jenny Ryan,"-£1,000","£48,000","£4,000 =",Home +1,3 (team 3),Team by 4,"£5,333",T,9
17/02/2016,P1,Heather,"£3,000",Shaun Wallace,£300,"£18,000","£3,000 =",Home +3,7 (team 2),Chaser by 0:20,£0,C,9
17/02/2016,P2,Matt,"£5,000",Shaun Wallace,"£1,000","£20,000","£5,000 =",Caught -5,,Chaser by 0:20,£0,,9
17/02/2016,P3,Lee,"£3,000",Shaun Wallace,"£1,000","£30,000","£3,000 =",Caught -2,,Chaser by 0:20,£0,,9
17/02/2016,P4,Eldin,"£4,000",Shaun Wallace,"£1,000","£47,000","£4,000 =",Home +2,7 (team 2),Chaser by 0:20,£0,C,9
18/02/2016,P1,Bruce,"£5,000",Anne Hegerty,"£1,000","£22,000","£5,000 =",Home +4,7 (team 2),Chaser by 0:31,£0,C,9
18/02/2016,P2,Junaid,"£6,000",Anne Hegerty,"£1,000","£32,000","£6,000 =",Caught -3,,Chaser by 0:31,£0,,9
18/02/2016,P3,Sophie,"£1,000",Anne Hegerty,£1,"£40,000",£1 \/,Home +5,6 (team 2),Chaser by 0:31,£0,C,9
18/02/2016,P4,Gilly,"£5,000",Anne Hegerty,-£1,"£55,000","£55,000 /\",Caught -5,,Chaser by 0:31,£0,,9
19/02/2016,P1,Andy,"£10,000",Mark Labbett,"£3,000","£50,000","£50,000 /\",Caught -5,,Chaser by 0:52,£0,,9
19/02/2016,P2,Dan,"£8,000",Mark Labbett,"£2,000","£55,000","£8,000 =",Home +3,12 (solo),Chaser by 0:52,£0,C,9
19/02/2016,P3,Karen,"£8,000",Mark Labbett,"£2,000","£62,000","£8,000 =",Caught -1,,Chaser by 0:52,£0,,9
19/02/2016,P4,Jody,"£4,000",Mark Labbett,"-£2,000","£72,000","£4,000 =",Caught -5,,Chaser by 0:52,£0,,9
22/02/2016,P1,Ian,"£7,000",Anne Hegerty,"£2,000","£27,000","£7,000 =",Caught -2,,Chaser by 0:13,£0,,9
22/02/2016,P2,Caroline,"£8,000",Anne Hegerty,"£2,000","£32,000","£8,000 =",Home +3,3 (team 2),Chaser by 0:13,£0,C,9
22/02/2016,P3,Jess,"£7,000",Anne Hegerty,"£1,000","£38,000","£7,000 =",Caught -3,,Chaser by 0:13,£0,,9
22/02/2016,P4,Darren,"£7,000",Anne Hegerty,"-£2,000","£52,000","£7,000 =",Home +2,11 (team 2),Chaser by 0:13,£0,C,9
23/02/2016,P1,Tim,"£7,000",Mark Labbett,"£2,000","£37,000","£7,000 =",Home +4,2 (team 3),Chaser by 0:15,£0,C,9
23/02/2016,P2,Andy,"£6,000",Mark Labbett,"£1,000","£43,000","£6,000 =",Home +1,10 (team 3),Chaser by 0:15,£0,C,9
23/02/2016,P3,Lorraine,"£5,000",Mark Labbett,"-£1,000","£47,000","£5,000 =",Home +3,0 (team 3),Chaser by 0:15,£0,C,9
23/02/2016,P4,Iain,"£5,000",Mark Labbett,"-£6,000","£62,000","£5,000 =",Caught -2,,Chaser by 0:15,£0,,9
24/02/2016,P1,Rob,"£6,000",Shaun Wallace,£600,"£26,000","£6,000 =",Caught -2,,Chaser by 0:02,£0,,9
24/02/2016,P2,Debra,"£5,000",Shaun Wallace,"£1,000","£32,000","£5,000 =",Caught -1,,Chaser by 0:02,£0,,9
24/02/2016,P3,Paride,"£6,000",Shaun Wallace,"£1,000","£40,000","£1,000 \/",Home +3,3 (team 2),Chaser by 0:02,£0,C,9
24/02/2016,P4,Haley,"£5,000",Shaun Wallace,"£1,000","£49,000","£49,000 /\",Home +1,7 (team 2),Chaser by 0:02,£0,C,9
25/02/2016,P1,Andrew,"£5,000",Mark Labbett,"£1,000","£20,000","£5,000 =",Home +3,6 (team 4),Team by 2,"£8,750",T,9
25/02/2016,P2,Tony,"£4,000",Mark Labbett,"£1,000","£20,000","£20,000 /\",Home +2,1 (team 4),Team by 2,"£8,750",T,9
25/02/2016,P3,Nadia,"£4,000",Mark Labbett,"-£3,000","£25,000","£4,000 =",Home +3,2 (team 4),Team by 2,"£8,750",T,9
25/02/2016,P4,Annie,"£6,000",Mark Labbett,"-£9,000","£51,000","£6,000 =",Home +1,9 (team 4),Team by 2,"£8,750",T,9
26/02/2016,P1,Nick,"£7,000",Paul Sinha,"£2,000","£37,000","£37,000 /\",Caught -5,,Chaser by 1:04,£0,,9
26/02/2016,P2,Amber,"£3,000",Paul Sinha,£300,"£33,000","£3,000 =",Home +3,1 (team 2),Chaser by 1:04,£0,C,9
26/02/2016,P3,Paul,"£6,000",Paul Sinha,"£1,000","£42,000","£6,000 =",Caught -4,,Chaser by 1:04,£0,,9
26/02/2016,P4,Charlotte,"£4,000",Paul Sinha,"£1,000","£67,000","£4,000 =",Home +2,6 (team 2),Chaser by 1:04,£0,C,9
29/02/2016,P1,Jenny,"£4,000",Mark Labbett,£400,"£24,000","£4,000 =",Caught -3,,Chaser by 0:56,£0,,9
29/02/2016,P2,Nigel,"£3,000",Mark Labbett,£300,"£33,000","£33,000 /\",Home +1,2 (team 2),Chaser by 0:56,£0,C,9
29/02/2016,P3,Ram,"£5,000",Mark Labbett,"-£3,000","£37,000","£5,000 =",Caught -4,,Chaser by 0:56,£0,,9
29/02/2016,P4,Elaine,"£6,000",Mark Labbett,"-£7,000","£67,000","-£7,000 \/",Home +3,8 (team 2),Chaser by 0:56,£0,C,9
01/03/2016,P1,John,"£6,000",Paul Sinha,£600,"£26,000","£6,000 =",Home +3,6 (team 4),Team by 2,"£6,250",T,9
01/03/2016,P2,Alix,"£5,000",Paul Sinha,"£1,000","£28,000","£5,000 =",Home +3,2 (team 4),Team by 2,"£6,250",T,9
01/03/2016,P3,Helen,"£6,000",Paul Sinha,"£1,000","£30,000","£6,000 =",Home +3,1 (team 4),Team by 2,"£6,250",T,9
01/03/2016,P4,Benjamin,"£8,000",Paul Sinha,"-£4,000","£43,000","£8,000 =",Home +1,8 (team 4),Team by 2,"£6,250",T,9
02/03/2016,P1,Olly,"£3,000",Jenny Ryan,£300,"£21,000","£3,000 =",Home +2,6 (team 3),Chaser by 0:31,£0,C,9
02/03/2016,P2,Graham,"£2,000",Jenny Ryan,£2,"£22,000","£2,000 =",Home +3,5 (team 3),Chaser by 0:31,£0,C,9
02/03/2016,P3,Frances,"£3,000",Jenny Ryan,"£1,000","£30,000","£30,000 /\",Caught -1,,Chaser by 0:31,£0,,9
02/03/2016,P4,Libby,"£5,000",Jenny Ryan,"£1,000","£55,000","£5,000 =",Home +1,3 (team 3),Chaser by 0:31,£0,C,9
03/03/2016,P1,Jan,"£7,000",Shaun Wallace,"£2,000","£30,000","£7,000 =",Caught -1,,Chaser by 0:15,£0,,9
03/03/2016,P2,Shireen,"£4,000",Shaun Wallace,"£1,000","£34,000","£4,000 =",Home +2,6 (team 2),Chaser by 0:15,£0,C,9
03/03/2016,P3,Matt,"£5,000",Shaun Wallace,"£1,000","£40,000","£5,000 =",Home +1,3 (team 2),Chaser by 0:15,£0,C,9
03/03/2016,P4,Jacob,"£7,000",Shaun Wallace,"-£2,000","£51,000","£7,000 =",Caught -4,,Chaser by 0:15,£0,,9
04/03/2016,P1,Damian,"£9,000",Anne Hegerty,"£2,000","£40,000","£9,000 =",Home +3,4 (team 4),Chaser by 0:12,£0,C,9
04/03/2016,P2,Kayleigh,"£6,000",Anne Hegerty,"£1,000","£30,000","£6,000 =",Home +1,3 (team 4),Chaser by 0:12,£0,C,9
04/03/2016,P3,Penny,"£7,000",Anne Hegerty,"-£1,000","£45,000","£7,000 =",Home +3,1 (team 4),Chaser by 0:12,£0,C,9
04/03/2016,P4,Ross,"£9,000",Anne Hegerty,"-£6,000","£58,000","£9,000 =",Home +2,5 (team 4),Chaser by 0:12,£0,C,9
07/03/2016,P1,Linda,"£6,000",Paul Sinha,"£1,000","£30,000","£6,000 =",Caught -3,,Chaser by 0:04,£0,,9
07/03/2016,P2,Ashleigh,"£3,000",Paul Sinha,£300,"£33,000","£3,000 =",Home +2,5 (team 2),Chaser by 0:04,£0,C,9
07/03/2016,P3,Trevor,"£8,000",Paul Sinha,"£1,000","£50,000","£8,000 =",Caught -1,,Chaser by 0:04,£0,,9
07/03/2016,P4,Stuart,"£6,000",Paul Sinha,"£1,000","£77,000","£6,000 =",Home +3,13 (team 2),Chaser by 0:04,£0,C,9
08/03/2016,P1,Jack,"£8,000",Anne Hegerty,"£1,000","£28,000","£8,000 =",Home +3,15 (team 3),Chaser by 0:20,£0,C,9
08/03/2016,P2,Tricia,"£5,000",Anne Hegerty,"£1,000","£30,000","£5,000 =",Home +2,2 (team 3),Chaser by 0:20,£0,C,9
08/03/2016,P3,Chloe,"£4,000",Anne Hegerty,"-£3,000","£33,000","£4,000 =",Home +1,0 (team 3),Chaser by 0:20,£0,C,9
08/03/2016,P4,Shaun,"£10,000",Anne Hegerty,"-£5,000","£43,000","£43,000 /\",Caught -1,,Chaser by 0:20,£0,,9
09/03/2016,P1,Elaine,"£3,000",Mark Labbett,£300,"£20,000","£3,000 =",Caught -3,,Team by 7,£0,,9
09/03/2016,P2,Ian,"£6,000",Mark Labbett,"£1,000","£36,000","£6,000 =",Home +4,14 (team 2),Team by 7,"£5,500",T,9
09/03/2016,P3,Jacob,"£8,000",Mark Labbett,"£1,000","£44,000","£8,000 =",Caught -3,,Team by 7,£0,,9
09/03/2016,P4,Shirley,"£5,000",Mark Labbett,"£1,000","£54,000","£5,000 =",Home +4,4 (team 2),Team by 7,"£5,500",T,9
10/03/2016,P1,Simon,"£5,000",Shaun Wallace,"£1,000","£20,000","£5,000 =",Caught -2,,Chaser by 0:46,£0,,9
10/03/2016,P2,Pindy,"£5,000",Shaun Wallace,"£1,000","£25,000","£5,000 =",Home +3,9 (solo),Chaser by 0:46,£0,C,9
10/03/2016,P3,Tiffany,"£3,000",Shaun Wallace,£300,"£33,000","£33,000 /\",Caught -5,,Chaser by 0:46,£0,,9
10/03/2016,P4,Naomi,"£3,000",Shaun Wallace,"£1,000","£35,000","£1,000 \/",Caught -1,,Chaser by 0:46,£0,,9
11/03/2016,P1,Jenny,"£7,000",Mark Labbett,"£2,000","£32,000","£32,000 /\",Caught -5,,Chaser by 0:40,£0,,9
11/03/2016,P2,Junaid,"£3,000",Mark Labbett,£300,"£33,000","£3,000 =",Caught -1,,Chaser by 0:40,£0,,9
11/03/2016,P3,Diane,"£3,000",Mark Labbett,£300,"£50,000","£50,000 /\",Caught -5,,Chaser by 0:40,£0,,9
11/03/2016,P4,Mick,"£2,000",Mark Labbett,"£1,000","£60,000","£60,000 /\",Home +4,10 (solo),Chaser by 0:40,£0,C,9
14/03/2016,P1,Stan,"£5,000",Shaun Wallace,£500,"£25,000","£5,000 =",Home +1,0 (team 4),Chaser by 0:21,£0,C,9
14/03/2016,P2,Jo,"£7,000",Shaun Wallace,"£1,000","£37,000","£7,000 =",Home +2,9 (team 4),Chaser by 0:21,£0,C,9
14/03/2016,P3,Azhar,"£5,000",Shaun Wallace,"£1,000","£43,000","£5,000 =",Home +3,0 (team 4),Chaser by 0:21,£0,C,9
14/03/2016,P4,Angie,"£3,000",Shaun Wallace,"-£2,000","£53,000","£3,000 =",Home +2,5 (team 4),Chaser by 0:21,£0,C,9
15/03/2016,P1,Scott,"£4,000",Jenny Ryan,£400,"£34,000","£4,000 =",Caught -4,11 (solo ✝),Team by 1,"£1,000",T,9
15/03/2016,P2,Samira,"£3,000",Jenny Ryan,"£1,000","£43,000","£3,000 =",Caught -4,,Team by 1,"£1,000",T,9
15/03/2016,P3,Richard,"£3,000",Jenny Ryan,"£1,000","£50,000","£50,000 /\",Caught -6,,Team by 1,"£1,000",T,9
15/03/2016,P4,Jo,"£2,000",Jenny Ryan,"£1,000","£60,000","£60,000 /\",Caught -5,,Team by 1,"£1,000",T,9
16/03/2016,P1,Kim,"£6,000",Mark Labbett,"£1,000","£32,000","£6,000 =",Caught -2,,Chaser by 0:20,£0,,9
16/03/2016,P2,Mark,"£9,000",Mark Labbett,"£2,000","£50,000","£9,000 =",Caught -1,,Chaser by 0:20,£0,,9
16/03/2016,P3,Brian,"£2,000",Mark Labbett,"£1,000","£40,000","£40,000 /\",Home +3,8 (team 2),Chaser by 0:20,£0,C,9
16/03/2016,P4,Gwyneth,"£5,000",Mark Labbett,"-£10,000","£60,000","£5,000 =",Home +1,7 (team 2),Chaser by 0:20,£0,C,9
17/03/2016,P1,James,"£8,000",Anne Hegerty,"£1,000","£25,000","£8,000 =",Home +3,9 (team 2),Chaser by 0:14,£0,C,9
17/03/2016,P2,Marie,"£3,000",Anne Hegerty,£300,"£23,000","£3,000 =",Caught -3,,Chaser by 0:14,£0,,9
17/03/2016,P3,Irene,"£5,000",Anne Hegerty,"£1,000","£30,000","£5,000 =",Caught -1,,Chaser by 0:14,£0,,9
17/03/2016,P4,Owen,"£3,000",Anne Hegerty,"£1,000","£32,000","£3,000 =",Home +2,4 (team 2),Chaser by 0:14,£0,C,9
18/03/2016,P1,David,"£8,000",Paul Sinha,"£2,000","£40,000","£8,000 =",Home +3,7 (team 2),Chaser by 0:06,£0,C,9
18/03/2016,P2,Hannah,"£4,000",Paul Sinha,"£1,000","£25,000","£4,000 =",Caught -5,,Chaser by 0:06,£0,,9
18/03/2016,P3,Jake,"£3,000",Paul Sinha,"£1,000","£28,000","£3,000 =",Caught -2,,Chaser by 0:06,£0,,9
18/03/2016,P4,Adele,"£6,000",Paul Sinha,"£1,000","£52,000","£1,000 \/",Home +5,6 (team 2),Chaser by 0:06,£0,C,9
21/03/2016,P1,Sue,"£5,000",Anne Hegerty,"£1,000","£20,000","£5,000 =",Home +1,4 (team 2),Chaser by 0:35,£0,C,9
21/03/2016,P2,Kim,"£4,000",Anne Hegerty,£400,"£24,000","£4,000 =",Caught -3,,Chaser by 0:35,£0,,9
21/03/2016,P3,Max,"£8,000",Anne Hegerty,"£1,000","£30,000","£30,000 /\",Caught -1,,Chaser by 0:35,£0,,9
21/03/2016,P4,Tom,"£8,000",Anne Hegerty,"£1,000","£45,000","£8,000 =",Home +2,7 (team 2),Chaser by 0:35,£0,C,9
22/03/2016,P1,Adam,"£4,000",Jenny Ryan,£400,"£20,000","£4,000 =",Home +2,8 (team 3),Chaser by 0:20,£0,C,9
22/03/2016,P2,Ash,£0,Jenny Ryan,"-£1,000","£20,000",£0 =,Home +1,5 (team 3),Chaser by 0:20,£0,C,9
22/03/2016,P3,Lyn,"£5,000",Jenny Ryan,"£1,000","£30,000","£5,000 =",Caught -2,,Chaser by 0:20,£0,,9
22/03/2016,P4,Kerr,"£4,000",Jenny Ryan,"£1,000","£41,000","£4,000 =",Home +2,2 (team 3),Chaser by 0:20,£0,C,9
23/03/2016,P1,Martin,"£4,000",Paul Sinha,£400,"£40,000","£4,000 =",Caught -4,,Chaser by 0:26,£0,,9
23/03/2016,P2,Nina,"£4,000",Paul Sinha,£400,"£44,000","£4,000 =",Home +2,10 (solo),Chaser by 0:26,£0,C,9
23/03/2016,P3,Ben,"£4,000",Paul Sinha,£400,"£60,000","£4,000 =",Caught -1,,Chaser by 0:26,£0,,9
23/03/2016,P4,Carl,"£3,000",Paul Sinha,£300,"£66,000","£3,000 =",Caught -1,,Chaser by 0:26,£0,,9
24/03/2016,P1,Will,"£3,000",Shaun Wallace,£300,"£18,000","£3,000 =",Home +2,4 (team 3),Team by 3,"£10,000",T,9
24/03/2016,P2,Nick,"£6,000",Shaun Wallace,"£1,000","£25,000","£25,000 /\",Home +3,9 (team 3),Team by 3,"£10,000",T,9
24/03/2016,P3,Lucie,"£2,000",Shaun Wallace,"-£6,000","£30,000","£2,000 =",Home +5,0 (team 3),Team by 3,"£10,000",T,9
24/03/2016,P4,Emily,"£4,000",Shaun Wallace,"-£8,000","£30,000","£4,000 =",Caught -1,,Team by 3,£0,,9
25/03/2016,P1,Paul,"£4,000",Mark Labbett,£400,"£20,000","£20,000 /\",Caught -5,,Chaser by 1:11,£0,,9
25/03/2016,P2,Robin,"£4,000",Mark Labbett,"£1,000","£20,000","£4,000 =",Home +2,5 (team 2),Chaser by 1:11,£0,C,9
25/03/2016,P3,Rupinda,"£4,000",Mark Labbett,"£1,000","£30,000","£4,000 =",Caught -2,,Chaser by 1:11,£0,,9
25/03/2016,P4,Donna,"£6,000",Mark Labbett,"£1,000","£46,000","£6,000 =",Home +2,4 (team 2),Chaser by 1:11,£0,C,9
28/03/2016,P1,Trevor,"£6,000",Shaun Wallace,"£1,000","£26,000","£6,000 =",Home +3,12 (team 2),Chaser by 0:37,£0,C,9
28/03/2016,P2,Ruth,"£4,000",Shaun Wallace,£400,"£24,000","£4,000 =",Caught -4,,Chaser by 0:37,£0,,9
28/03/2016,P3,Jeff,"£7,000",Shaun Wallace,"£1,000","£34,000","£7,000 =",Caught -4,,Chaser by 0:37,£0,,9
28/03/2016,P4,Marge,£0,Shaun Wallace,"-£1,000","£1,000",£0 =,Home +3,2 (team 2),Chaser by 0:37,£0,C,9
29/03/2016,P1,Mickey,"£4,000",Paul Sinha,£400,"£22,000","£22,000 /\",Home +1,10 (team 3),Team by 1,"£25,000",T,9
29/03/2016,P2,Hazel,"£2,000",Paul Sinha,£200,"£28,000","£2,000 =",Caught -3,,Team by 1,£0,,9
29/03/2016,P3,Helen,"£4,000",Paul Sinha,"£1,000","£38,000","£4,000 =",Home +1,3 (team 3),Team by 1,"£25,000",T,9
29/03/2016,P4,Roy,"£5,000",Paul Sinha,"-£2,000","£49,000","£49,000 /\",Home +3,5 (team 3),Team by 1,"£25,000",T,9
30/03/2016,P1,Laura,"£2,000",Jenny Ryan,£200,"£20,000","£2,000 =",Caught -5,,Chaser by 0:55,£0,,9
30/03/2016,P2,Anthony,"£4,000",Jenny Ryan,"£1,000","£24,000","£4,000 =",Home +2,1 (team 3),Chaser by 0:55,£0,C,9
30/03/2016,P3,Rosie,"£3,000",Jenny Ryan,"£1,000","£33,000","£3,000 =",Home +1,6 (team 3),Chaser by 0:55,£0,C,9
30/03/2016,P4,Jude,"£3,000",Jenny Ryan,"-£1,000","£43,000","£3,000 =",Home +1,5 (team 3),Chaser by 0:55,£0,C,9
31/03/2016,P1,Tariq,"£4,000",Anne Hegerty,"£1,000","£16,000","£4,000 =",Home +3,7 (team 3),Chaser by 0:28,£0,C,9
31/03/2016,P2,Denika,"£4,000",Anne Hegerty,"£1,000","£24,000","£4,000 =",Caught -4,,Chaser by 0:28,£0,,9
31/03/2016,P3,Archie,"£3,000",Anne Hegerty,"£1,000","£30,000","£1,000 \/",Home +4,4 (team 3),Chaser by 0:28,£0,C,9
31/03/2016,P4,Steve,"£7,000",Anne Hegerty,"£1,000","£45,000","£7,000 =",Home +2,4 (team 3),Chaser by 0:28,£0,C,9
01/04/2016,P1,Nick,"£4,000",Mark Labbett,"£1,000","£28,000","£4,000 =",Caught -2,,Chaser by 0:54,£0,,9
01/04/2016,P2,Eamon,"£8,000",Mark Labbett,"£2,000","£58,000","£8,000 =",Home +2,6 (team 2),Chaser by 0:54,£0,C,9
01/04/2016,P3,Simone,"£3,000",Mark Labbett,£300,"£32,000","£3,000 =",Home +2,5 (team 2),Chaser by 0:54,£0,C,9
01/04/2016,P4,Danielle,"£6,000",Mark Labbett,"-£2,000","£64,000","£6,000 =",Caught -1,,Chaser by 0:54,£0,,9
04/04/2016,P1,Ben,"£6,000",Jenny Ryan,"£1,000","£26,000","£6,000 =",Home +2,12 (team 3),Chaser by 0:34,£0,C,9
04/04/2016,P2,Anne,"£5,000",Jenny Ryan,"£1,000","£30,000","£5,000 =",Caught -5,,Chaser by 0:34,£0,,9
04/04/2016,P3,Wez,"£4,000",Jenny Ryan,£400,"£44,000",£400 \/,Home +2,0 (team 3),Chaser by 0:34,£0,C,9
04/04/2016,P4,Christine,"£4,000",Jenny Ryan,"-£1,000","£54,000","-£1,000 \/",Home +1,1 (team 3),Chaser by 0:34,£0,C,9
05/04/2016,P1,Tony,"£4,000",Anne Hegerty,£400,"£24,000","£4,000 =",Home +2,5 (team 2),Chaser by 0:37,£0,C,9
05/04/2016,P2,Chris,"£8,000",Anne Hegerty,"£2,000","£46,000","£8,000 =",Caught -2,,Chaser by 0:37,£0,,9
05/04/2016,P3,Lucy,"£2,000",Anne Hegerty,£500,"£55,000","£2,000 =",Caught -3,,Chaser by 0:37,£0,,9
05/04/2016,P4,June,"£6,000",Anne Hegerty,"£1,000","£76,000","£6,000 =",Home +4,5 (team 2),Chaser by 0:37,£0,C,9
06/04/2016,P1,Pete,"£9,000",Mark Labbett,"£2,000","£30,000","£9,000 =",Home +2,11 (team 4),Team by 6,"£6,750",T,9
06/04/2016,P2,Brad,"£8,000",Mark Labbett,"£1,000","£40,000","£8,000 =",Home +2,1 (team 4),Team by 6,"£6,750",T,9
06/04/2016,P3,Sheila,"£4,000",Mark Labbett,"-£2,000","£50,000","£4,000 =",Home +1,0 (team 4),Team by 6,"£6,750",T,9
06/04/2016,P4,Maddy,"£6,000",Mark Labbett,"-£5,000","£69,000","£6,000 =",Home +2,4 (team 4),Team by 6,"£6,750",T,9
07/04/2016,P1,Pete,"£5,000",Paul Sinha,"£1,000","£30,000","£5,000 =",Home +2,7 (team 3),Chaser by 0:01,£0,C,9
07/04/2016,P2,Sheila,"£7,000",Paul Sinha,"£2,000","£45,000","£45,000 /\",Home +1,6 (team 3),Chaser by 0:01,£0,C,9
07/04/2016,P3,Maisie,"£3,000",Paul Sinha,"-£3,000","£30,000","-£3,000 \/",Caught -1,,Chaser by 0:01,£0,,9
07/04/2016,P4,Noel,"£4,000",Paul Sinha,"-£5,000","£40,000","£4,000 =",Home +1,2 (team 3),Chaser by 0:01,£0,C,9
08/04/2016,P1,Kevin,"£4,000",Shaun Wallace,£400,"£24,000","£4,000 =",Caught -1,,Chaser by 1:07,£0,,9
08/04/2016,P2,Paula,"£6,000",Shaun Wallace,"£1,000","£30,000","£6,000 =",Caught -2,,Chaser by 1:07,£0,,9
08/04/2016,P3,Max,"£1,000",Shaun Wallace,£100,"£40,000","£40,000 /\",Caught -6,,Chaser by 1:07,£0,,9
08/04/2016,P4,Louise,"£2,000",Shaun Wallace,"£1,000","£60,000","£60,000 /\",Home +2,6 (solo),Chaser by 1:07,£0,C,9
11/04/2016,P1,Lee,"£5,000",Shaun Wallace,"£1,000","£18,000","£5,000 =",Home +1,3 (team 3),Team by 2,"£5,667",T,9
11/04/2016,P2,Paul,"£6,000",Shaun Wallace,"£1,000","£20,000","£6,000 =",Home +1,6 (team 3),Team by 2,"£5,667",T,9
11/04/2016,P3,Rosie,"£4,000",Shaun Wallace,"-£2,000","£24,000","£24,000 /\",Caught -4,,Team by 2,£0,,9
11/04/2016,P4,Hayley,"£6,000",Shaun Wallace,"-£3,000","£39,000","£6,000 =",Home +3,4 (team 3),Team by 2,"£5,667",T,9
12/04/2016,P1,Rafey,"£6,000",Paul Sinha,£600,"£26,000","£26,000 /\",Home +1,8 (team 2),Chaser by 0:44,£0,C,9
12/04/2016,P2,Rhona,"£6,000",Paul Sinha,"£1,000","£30,000","£6,000 =",Caught -3,,Chaser by 0:44,£0,,9
12/04/2016,P3,Nikki,"£5,000",Paul Sinha,"-£4,000","£32,000","£5,000 =",Caught -5,,Chaser by 0:44,£0,,9
12/04/2016,P4,Kyron,"£2,000",Paul Sinha,"-£6,000","£26,000","-£6,000 \/",Home +2,4 (team 2),Chaser by 0:44,£0,C,9
13/04/2016,P1,Joe,"£4,000",Anne Hegerty,"£1,000","£40,000","£40,000 /\",Caught -4,,Chaser by 0:01,£0,,9
13/04/2016,P2,David,"£6,000",Anne Hegerty,£720,"£50,000","£6,000 =",Caught -2,,Chaser by 0:01,£0,,9
13/04/2016,P3,Tasha,"£3,000",Anne Hegerty,£300,"£60,000",£300 \/,Home +5,2 (team 2),Chaser by 0:01,£0,C,9
13/04/2016,P4,Jean,"£7,000",Anne Hegerty,£700,"£70,000","£7,000 =",Home +3,15 (team 2),Chaser by 0:01,£0,C,9
14/04/2016,P1,Andy,"£4,000",Jenny Ryan,£400,"£24,000","£4,000 =",Home +1,6 (team 2),Team by 2,"£5,500",T,9
14/04/2016,P2,Wendy,"£4,000",Jenny Ryan,"£1,000","£28,000","£4,000 =",Caught -4,,Team by 2,£0,,9
14/04/2016,P3,Jonny,"£4,000",Jenny Ryan,"£1,000","£32,000","£4,000 =",Caught -3,,Team by 2,£0,,9
