Date,PlayerNo.,Name,CashBuilder,Chaser,LowerOffer,HigherOffer,ChosenOffer,HTHResult,FC CorrectAnswers,FC Winner,Amount WonBy Player,bgc,Series
11/01/2019,P3,Lynne,"£1,000",Mark Labbett,£100,"£30,000",£100 \/,Caught -3,,Chaser by 0:54,£0,,12
11/01/2019,P4,Omar,"£5,000",Mark Labbett,"£1,000","£65,000","£5,000 =",Caught -4,,Chaser by 0:54,£0,,12
14/01/2019,P1,Ash,"£2,000",Paul Sinha,£200,"£22,000","£2,000 =",Home +2,5 (team 3),Chaser by 0:32,£0,C,12
14/01/2019,P2,Gianluca,"£4,000",Paul Sinha,"£1,000","£30,000","£4,000 =",Home +3,5 (team 3),Chaser by 0:32,£0,C,12
14/01/2019,P3,Sally,"£6,000",Paul Sinha,£600,"£36,000","£6,000 =",Caught -4,,Chaser by 0:32,£0,,12
14/01/2019,P4,Katherine,"£4,000",Paul Sinha,"£1,000","£44,000","£4,000 =",Home +1,3 (team 3),Chaser by 0:32,£0,C,12
15/01/2019,P1,Sandie,"£7,000",Jenny Ryan,"£1,000","£27,000","£7,000 =",Home +5,7 (team 3),Team by 1,"£5,667",T,12
15/01/2019,P2,Sharon,"£5,000",Jenny Ryan,"£1,000","£30,000","£5,000 =",Caught -4,,Team by 1,£0,,12
15/01/2019,P3,Richie,"£4,000",Jenny Ryan,"£1,000","£33,000","£4,000 =",Home +1,4 (team 3),Team by 1,"£5,667",T,12
15/01/2019,P4,Jack,"£6,000",Jenny Ryan,"-£2,000","£49,000","£6,000 =",Home +1,5 (team 3),Team by 1,"£5,667",T,12
16/01/2019,P1,Ken,"£6,000",Anne Hegerty,"£1,000","£24,000","£6,000 =",Home +2,7 (team 2),Chaser by 0:39,£0,C,12
16/01/2019,P2,Delwen,"£7,000",Anne Hegerty,£700,"£30,000","£7,000 =",Caught -4,,Chaser by 0:39,£0,,12
16/01/2019,P3,Jack,"£4,000",Anne Hegerty,£400,"£34,000","£4,000 =",Home +2,4 (team 2),Chaser by 0:39,£0,C,12
16/01/2019,P4,Mary Ann,"£1,000",Anne Hegerty,"-£1,000","£50,000","-£1,000 \/",Caught -1,,Chaser by 0:39,£0,,12
17/01/2019,P1,Carol,"£4,000",Mark Labbett,"£1,000","£16,000","£4,000 =",Home +4,4 (team 4),Chaser by 0:10,£0,C,12
17/01/2019,P2,Greg,"£5,000",Mark Labbett,£500,"£25,000","£5,000 =",Home +4,7 (team 4),Chaser by 0:10,£0,C,12
17/01/2019,P3,Andy,"£5,000",Mark Labbett,"£1,000","£30,000","£5,000 =",Home +4,5 (team 4),Chaser by 0:10,£0,C,12
17/01/2019,P4,Georgina,"£2,000",Mark Labbett,"-£2,000","£46,000","-£2,000 \/",Home +2,1 (team 4),Chaser by 0:10,£0,C,12
18/01/2019,P1,Chris,"£7,000",Shaun Wallace,£700,"£21,000","£7,000 =",Caught -3,,Chaser by 0:14,£0,,12
18/01/2019,P2,Chloe,"£7,000",Shaun Wallace,"£2,000","£25,000","£25,000 /\",Home +1,7 (team 3),Chaser by 0:14,£0,C,12
18/01/2019,P3,Ekow,"£2,000",Shaun Wallace,"-£2,000","£22,000","-£2,000 \/",Home +2,2 (team 3),Chaser by 0:14,£0,C,12
18/01/2019,P4,Jo,"£2,000",Shaun Wallace,"-£8,000","£37,000","£2,000 =",Home +4,2 (team 3),Chaser by 0:14,£0,C,12
21/01/2019,P1,Sian,"£5,000",Paul Sinha,£500,"£20,000","£5,000 =",Caught -3,,Chaser by 0:37,£0,,12
21/01/2019,P2,Caroline,"£6,000",Paul Sinha,"£1,000","£26,000","£6,000 =",Caught -5,,Chaser by 0:37,£0,,12
21/01/2019,P3,Mike,"£6,000",Paul Sinha,"£1,000","£34,000","£6,000 =",Home +4,11 (team 2),Chaser by 0:37,£0,C,12
21/01/2019,P4,Darren,"£4,000",Paul Sinha,"-£1,000","£44,000","£4,000 =",Home +3,0 (team 2),Chaser by 0:37,£0,C,12
22/01/2019,P1,Liz,"£7,000",Shaun Wallace,"£1,000","£21,000","£21,000 /\",Home +2,8 (team 3),Team by 4,"£8,000",T,12
22/01/2019,P2,Hywel,"£2,000",Shaun Wallace,£200,"£30,000","£2,000 =",Home +3,4 (team 3),Team by 4,"£8,000",T,12
22/01/2019,P3,Paul,"£1,000",Shaun Wallace,"-£2,000","£30,000","£1,000 =",Home +2,1 (team 3),Team by 4,"£8,000",T,12
22/01/2019,P4,Rita,"£4,000",Shaun Wallace,"-£4,000","£40,000","-£4,000 \/",Caught -3,,Team by 4,£0,,12
23/01/2019,P1,Richard,"£6,000",Anne Hegerty,"£1,000","£22,000","£6,000 =",Home +3,10 (team 2),Chaser by 0:53,£0,C,12
23/01/2019,P2,Jo,"£3,000",Anne Hegerty,£300,"£30,000","£3,000 =",Caught -2,,Chaser by 0:53,£0,,12
