Date,Episode,Team,Chaser,NPlayersFinal,PrizeFund,Target,Series,isCelebrity,ChaserWin,ChaserWinBy,ChaserLoseBy
12/03/2012,25.0,"Barbara, Dave, Sarah, Andy",Paul Sinha,2,11000.0,19,5,False,True,14,0
13/03/2012,26.0,"Steev, Myrtle, Sam, Gary",Shaun Wallace,3,42000.0,23,5,False,True,1,0
14/03/2012,27.0,"Tony, Eileen, Lucy, Warren",Mark Labbett,0,4000.0,18,5,False,True,8,0
15/03/2012,28.0,"Judith, Paul, Martin, Amy",Paul Sinha,3,15000.0,19,5,False,True,18,0
16/03/2012,29.0,"Neil, Sylvia, Lisa, Richard",Anne Hegerty,2,15000.0,20,5,False,True,4,0
19/03/2012,30.0,"Jane, Stephen, Carl, John",Shaun Wallace,3,7000.0,21,5,False,False,0,5
20/03/2012,31.0,"Callum, Marilyn, Sarah, Sean",Paul Sinha,4,28000.0,28,5,False,False,0,1
21/03/2012,32.0,"Amarjit, Damion, Barbara, Adam",Mark Labbett,3,16001.0,24,5,False,True,5,0
22/03/2012,33.0,"Dawn, Steve, Chris, Sophie",Anne Hegerty,1,9000.0,15,5,False,True,13,0
23/03/2012,34.0,"Jeff, Andrew, Sharon, Marion",Paul Sinha,3,15000.0,19,5,False,True,25,0
26/03/2012,35.0,"Tom, Ben, Flo, David",Anne Hegerty,3,8000.0,21,5,False,True,12,0
27/03/2012,36.0,"Nikki, Matt, Ed, Victoria",Paul Sinha,3,20000.0,21,5,False,True,6,0
28/03/2012,37.0,"Mike, Zora, David, Ursula",Mark Labbett,2,11000.0,17,5,False,False,0,3
29/03/2012,38.0,"Mandi, Jonathan, Heather, Paul",Anne Hegerty,2,10000.0,17,5,False,True,37,0
30/03/2012,39.0,"Alison, Simon, Roger, Paula",Shaun Wallace,1,4000.0,17,5,False,True,17,0
09/04/2012,40.0,"Scott, David, Wendie, Paul",Shaun Wallace,2,9000.0,18,5,False,True,26,0
10/04/2012,41.0,"Kevin, Zoe, Jane, Brian",Mark Labbett,3,17000.0,19,5,False,True,34,0
11/04/2012,42.0,"Carole, James, Julie, Dave",Paul Sinha,1,4000.0,14,5,False,True,58,0
12/04/2012,43.0,"Patrick, Karen, Susan, Graeme",Anne Hegerty,3,25000.0,19,5,False,False,0,5
13/04/2012,44.0,"Hannah, Greg, Jack, Karen",Shaun Wallace,1,30000.0,12,5,False,True,67,0
16/04/2012,45.0,"Tony, Wendy, John, Jacquee",Paul Sinha,2,12000.0,14,5,False,False,0,1
17/04/2012,46.0,"Eric, Dot, Lottie, Alison",Anne Hegerty,3,16000.0,20,5,False,True,6,0
18/04/2012,47.0,"Parminder, Mo, Matt, Imelda",Mark Labbett,2,11000.0,16,5,False,True,36,0
19/04/2012,48.0,"Duncan, Lynsey, Sue, Lee",Paul Sinha,4,28000.0,21,5,False,True,7,0
20/04/2012,49.0,"Sheila, Rob, Graham, Verity",Shaun Wallace,3,39000.0,26,5,False,False,0,2
23/04/2012,50.0,"Maggie, Michael, Dave, Susan",Mark Labbett,3,21000.0,20,5,False,True,6,0
24/04/2012,51.0,"Ian, Gwerfyl, Dan, Deborah",Paul Sinha,3,16000.0,19,5,False,True,10,0
25/04/2012,52.0,"Mike, Clare, Beth, Kevin",Mark Labbett,1,7000.0,12,5,False,True,73,0
26/04/2012,53.0,"Steve, Ray, Marc, Janet",Shaun Wallace,2,11000.0,23,5,False,False,0,2
27/04/2012,54.0,"Sarah, Sheila, Mike, Alan",Anne Hegerty,4,20000.0,20,5,False,True,11,0
30/04/2012,55.0,"Anne, Stephen, Lydia, Ram",Mark Labbett,4,19000.0,20,5,False,True,11,0
01/05/2012,56.0,"Rob, Jo, Ryan, Siobhan",Shaun Wallace,2,12000.0,15,5,False,False,0,2
02/05/2012,57.0,"Tim, Jo, Jackie, Dean",Paul Sinha,1,7000.0,18,5,False,True,48,0
03/05/2012,58.0,"Harry, Tom, Lorraine, Linda",Shaun Wallace,3,38000.0,18,5,False,True,3,0
04/05/2012,59.0,"Julia, Zoe, Kevan, Sallie",Anne Hegerty,3,40000.0,19,5,False,True,22,0
07/05/2012,60.0,"Rob, Glenys, Lizz, Jeff",Anne Hegerty,2,40000.0,19,5,False,True,36,0
08/05/2012,61.0,"Julian, Sandra, Mike, Mark",Shaun Wallace,3,12999.0,15,5,False,True,46,0
09/05/2012,62.0,"Matt, Helen, Julia, Mike",Mark Labbett,3,14000.0,20,5,False,False,0,3
10/05/2012,63.0,"Rob, Caroline, Annie, Margot",Paul Sinha,3,47000.0,24,5,False,True,25,0
11/05/2012,64.0,"Angela, Chris, Therese, Sally",Anne Hegerty,3,15000.0,21,5,False,True,21,0
14/05/2012,65.0,"Ashley, Anne, Louise, Kevin",Shaun Wallace,4,17000.0,16,5,False,True,13,0
15/05/2012,66.0,"Patricia, Sarah, Alan, Kris",Anne Hegerty,1,4000.0,15,5,False,True,26,0
16/05/2012,67.0,"Carolyn, Marcus, Clive, Keeley",Paul Sinha,2,16000.0,23,5,False,False,0,3
17/05/2012,68.0,"Melanie, Carey, Paul, Trevor",Shaun Wallace,2,11000.0,20,5,False,False,0,4
18/05/2012,69.0,"Derek, Stephen, Ann, Angela",Mark Labbett,3,15000.0,20,5,False,True,36,0
21/05/2012,70.0,"David, Elaine, Jo, Steven",Paul Sinha,2,12000.0,16,5,False,True,50,0
22/05/2012,71.0,"Sheena, Sandra, John, Luke",Mark Labbett,2,9000.0,15,5,False,True,62,0
23/05/2012,72.0,"Julie, Richard, Nick, Jeanette",Anne Hegerty,1,6000.0,15,5,False,True,30,0
24/05/2012,73.0,"David, Janet, Caroline, Ian",Shaun Wallace,3,12000.0,17,5,False,False,0,1
25/05/2012,74.0,"Andy, Alyson, Julie, Mark",Mark Labbett,3,45000.0,20,5,False,True,24,0
28/05/2012,75.0,"Dave, Caroline, Gerardo, Sandi",Shaun Wallace,3,33000.0,17,5,False,True,32,0
29/05/2012,76.0,"Richard, Maureen, Tricia, Mark",Anne Hegerty,2,8000.0,17,5,False,True,21,0
30/05/2012,77.0,"Andy, Brian, Anne, Carol",Paul Sinha,3,15000.0,20,5,False,False,0,2
31/05/2012,78.0,"Matt, Jon, Sandra, Kathy",Shaun Wallace,1,8000.0,14,5,False,True,38,0
01/06/2012,79.0,"Lee, Pat, Claire, Michael",Anne Hegerty,2,18000.0,16,5,False,True,38,0
03/09/2012,80.0,"Nia, Ben, Sam, Julie",Mark Labbett,1,5000.0,12,5,False,True,70,0
04/09/2012,81.0,"Ashley, Helen, Rob, Kerri",Anne Hegerty,2,13000.0,21,5,False,True,17,0
05/09/2012,82.0,"Sam, Tony, Chris, Mel",Paul Sinha,3,10000.0,19,5,False,True,4,0
06/09/2012,83.0,"Ed, Richie, Kerry-Anne, Elizabeth",Anne Hegerty,3,31000.0,23,5,False,False,0,5
07/09/2012,84.0,"Caroline, Hilary, Gerry, Craig",Shaun Wallace,3,16000.0,21,5,False,True,6,0
